# Timestamp Rate
1.451628000000000000e+09 8.178400000000000000e+04
1.451714400000000000e+09 8.205100000000000000e+04
1.451800800000000000e+09 7.903500000000000000e+04
1.451887200000000000e+09 8.170100000000000000e+04
1.451973600000000000e+09 8.218000000000000000e+04
1.452060000000000000e+09 8.201600000000000000e+04
1.452146400000000000e+09 8.173300000000000000e+04
1.452232800000000000e+09 8.201500000000000000e+04
1.452319200000000000e+09 8.196100000000000000e+04
1.452405600000000000e+09 8.216900000000000000e+04
1.452492000000000000e+09 8.236000000000000000e+04
1.452578400000000000e+09 8.223100000000000000e+04
1.452664800000000000e+09 8.216000000000000000e+04
1.452751200000000000e+09 8.214200000000000000e+04
1.452837600000000000e+09 8.203500000000000000e+04
1.452924000000000000e+09 8.188700000000000000e+04
1.453010400000000000e+09 7.673400000000000000e+04
1.453096800000000000e+09 8.213800000000000000e+04
1.453183200000000000e+09 8.194900000000000000e+04
1.453269600000000000e+09 3.501800000000000000e+04
1.453356000000000000e+09 8.191200000000000000e+04
1.453442400000000000e+09 8.208000000000000000e+04
1.453528800000000000e+09 8.187300000000000000e+04
1.453615200000000000e+09 7.719800000000000000e+04
1.453701600000000000e+09 4.031000000000000000e+04
1.453788000000000000e+09 6.558000000000000000e+03
1.453874400000000000e+09 6.673000000000000000e+03
1.453960800000000000e+09 6.527000000000000000e+03
1.454047200000000000e+09 6.569000000000000000e+03
1.454133600000000000e+09 6.712000000000000000e+03
1.454220000000000000e+09 6.858000000000000000e+03
1.454306400000000000e+09 6.661000000000000000e+03
1.454392800000000000e+09 1.711500000000000000e+04
1.454479200000000000e+09 1.387500000000000000e+04
1.454565600000000000e+09 1.541100000000000000e+04
1.454652000000000000e+09 6.645000000000000000e+03
1.454738400000000000e+09 6.625000000000000000e+03
1.454824800000000000e+09 6.859000000000000000e+03
1.454911200000000000e+09 6.907000000000000000e+03
1.454997600000000000e+09 6.633000000000000000e+03
1.455084000000000000e+09 6.596000000000000000e+03
1.455170400000000000e+09 6.630000000000000000e+03
1.455256800000000000e+09 6.639000000000000000e+03
1.455343200000000000e+09 6.439000000000000000e+03
1.455429600000000000e+09 6.492000000000000000e+03
1.455516000000000000e+09 6.653000000000000000e+03
1.455602400000000000e+09 6.554000000000000000e+03
1.455688800000000000e+09 6.535000000000000000e+03
1.455775200000000000e+09 6.475000000000000000e+03
1.455861600000000000e+09 6.782000000000000000e+03
1.455948000000000000e+09 6.731000000000000000e+03
1.456034400000000000e+09 6.374000000000000000e+03
1.456120800000000000e+09 6.702000000000000000e+03
1.456207200000000000e+09 6.686000000000000000e+03
1.456293600000000000e+09 6.804000000000000000e+03
1.456380000000000000e+09 6.647000000000000000e+03
1.456466400000000000e+09 6.596000000000000000e+03
1.456552800000000000e+09 6.719000000000000000e+03
1.456639200000000000e+09 6.609000000000000000e+03
1.456725600000000000e+09 6.786000000000000000e+03
1.456812000000000000e+09 6.669000000000000000e+03
1.456898400000000000e+09 1.764200000000000000e+04
1.456984800000000000e+09 6.885000000000000000e+03
1.457071200000000000e+09 6.244000000000000000e+03
1.457157600000000000e+09 1.027800000000000000e+04
1.457244000000000000e+09 5.932000000000000000e+03
1.457330400000000000e+09 5.886000000000000000e+03
1.457416800000000000e+09 5.915000000000000000e+03
1.457503200000000000e+09 5.753000000000000000e+03
1.457589600000000000e+09 5.618000000000000000e+03
1.457676000000000000e+09 5.521000000000000000e+03
1.457762400000000000e+09 5.675000000000000000e+03
1.457848800000000000e+09 5.398000000000000000e+03
1.457931600000000000e+09 5.665000000000000000e+03
1.458018000000000000e+09 5.858000000000000000e+03
1.458104400000000000e+09 5.802000000000000000e+03
1.458190800000000000e+09 5.752000000000000000e+03
1.458277200000000000e+09 5.760000000000000000e+03
1.458363600000000000e+09 5.611000000000000000e+03
1.458450000000000000e+09 5.666000000000000000e+03
1.458536400000000000e+09 5.816000000000000000e+03
1.458622800000000000e+09 5.854000000000000000e+03
1.458709200000000000e+09 5.725000000000000000e+03
1.458795600000000000e+09 6.166000000000000000e+03
1.458882000000000000e+09 5.896000000000000000e+03
1.458968400000000000e+09 5.641000000000000000e+03
1.459054800000000000e+09 6.070000000000000000e+03
1.459144800000000000e+09 5.809000000000000000e+03
1.459231200000000000e+09 5.885000000000000000e+03
1.459317600000000000e+09 6.340000000000000000e+03
1.459404000000000000e+09 6.201000000000000000e+03
1.459490400000000000e+09 5.997000000000000000e+03
1.459576800000000000e+09 6.221000000000000000e+03
1.459663200000000000e+09 3.798000000000000000e+03
1.459749600000000000e+09 6.022000000000000000e+03
1.459836000000000000e+09 6.003000000000000000e+03
1.459922400000000000e+09 1.694300000000000000e+04
1.460008800000000000e+09 1.632700000000000000e+04
1.460095200000000000e+09 6.041000000000000000e+03
1.460181600000000000e+09 5.988000000000000000e+03
1.460268000000000000e+09 5.814000000000000000e+03
1.460354400000000000e+09 5.383000000000000000e+03
1.460440800000000000e+09 5.812000000000000000e+03
1.460527200000000000e+09 5.816000000000000000e+03
1.460613600000000000e+09 5.662000000000000000e+03
1.460700000000000000e+09 5.432000000000000000e+03
1.460786400000000000e+09 5.542000000000000000e+03
1.460872800000000000e+09 5.663000000000000000e+03
1.460959200000000000e+09 5.839000000000000000e+03
1.461045600000000000e+09 5.929000000000000000e+03
1.461132000000000000e+09 6.343000000000000000e+03
1.461218400000000000e+09 7.916000000000000000e+03
1.461304800000000000e+09 6.061000000000000000e+03
1.461391200000000000e+09 5.772000000000000000e+03
1.461477600000000000e+09 5.918000000000000000e+03
1.461564000000000000e+09 6.232000000000000000e+03
1.461650400000000000e+09 8.015000000000000000e+03
1.461736800000000000e+09 1.040600000000000000e+04
1.461823200000000000e+09 8.091000000000000000e+03
1.461909600000000000e+09 9.191000000000000000e+03
1.461996000000000000e+09 6.272000000000000000e+03
1.462082400000000000e+09 5.975000000000000000e+03
1.462168800000000000e+09 7.942000000000000000e+03
1.462255200000000000e+09 9.089000000000000000e+03
1.462341600000000000e+09 1.124700000000000000e+04
1.462428000000000000e+09 8.473000000000000000e+03
1.462514400000000000e+09 7.967000000000000000e+03
1.462600800000000000e+09 1.066500000000000000e+04
1.462687200000000000e+09 1.111800000000000000e+04
1.462773600000000000e+09 1.126600000000000000e+04
1.462860000000000000e+09 9.830000000000000000e+03
1.462946400000000000e+09 8.770000000000000000e+03
1.463032800000000000e+09 1.056200000000000000e+04
1.463119200000000000e+09 1.205000000000000000e+04
1.463205600000000000e+09 1.007500000000000000e+04
1.463292000000000000e+09 9.466000000000000000e+03
1.463378400000000000e+09 9.708000000000000000e+03
1.463464800000000000e+09 6.262000000000000000e+03
1.463551200000000000e+09 4.861000000000000000e+03
1.463637600000000000e+09 1.157100000000000000e+04
1.463724000000000000e+09 1.076400000000000000e+04
1.463810400000000000e+09 1.274000000000000000e+04
1.463896800000000000e+09 1.345900000000000000e+04
1.463983200000000000e+09 1.280700000000000000e+04
1.464069600000000000e+09 1.139600000000000000e+04
1.464156000000000000e+09 1.204800000000000000e+04
1.464242400000000000e+09 1.331200000000000000e+04
1.464328800000000000e+09 1.374600000000000000e+04
1.464415200000000000e+09 1.322400000000000000e+04
1.464501600000000000e+09 1.430400000000000000e+04
1.464588000000000000e+09 1.314200000000000000e+04
