# Timestamp Rate
1.441083600000000000e+09 2.748000000000000000e+03
1.441170000000000000e+09 4.712000000000000000e+03
1.441256400000000000e+09 5.046000000000000000e+03
1.441342800000000000e+09 4.949000000000000000e+03
1.441429200000000000e+09 4.809000000000000000e+03
1.441515600000000000e+09 4.680000000000000000e+03
1.441602000000000000e+09 4.511000000000000000e+03
1.441688400000000000e+09 4.911000000000000000e+03
1.441774800000000000e+09 5.677000000000000000e+03
1.441861200000000000e+09 5.673000000000000000e+03
1.441947600000000000e+09 5.603000000000000000e+03
1.442034000000000000e+09 4.983000000000000000e+03
1.442120400000000000e+09 4.626000000000000000e+03
1.442206800000000000e+09 5.020000000000000000e+03
1.442293200000000000e+09 5.056000000000000000e+03
1.442379600000000000e+09 5.071000000000000000e+03
1.442466000000000000e+09 3.110000000000000000e+03
1.442552400000000000e+09 4.776000000000000000e+03
1.442638800000000000e+09 5.039000000000000000e+03
1.442725200000000000e+09 1.765000000000000000e+03
1.442811600000000000e+09 3.463000000000000000e+03
1.442898000000000000e+09 5.098000000000000000e+03
1.442984400000000000e+09 5.180000000000000000e+03
1.443070800000000000e+09 5.182000000000000000e+03
1.443157200000000000e+09 5.228000000000000000e+03
1.443243600000000000e+09 5.209000000000000000e+03
1.443330000000000000e+09 5.059000000000000000e+03
1.443416400000000000e+09 1.585000000000000000e+03
1.443502800000000000e+09 3.205000000000000000e+03
1.443589200000000000e+09 5.231000000000000000e+03
1.443675600000000000e+09 3.565000000000000000e+03
1.443762000000000000e+09 0.000000000000000000e+00
1.443848400000000000e+09 0.000000000000000000e+00
1.443934800000000000e+09 3.000000000000000000e+00
1.444021200000000000e+09 2.179000000000000000e+03
1.444107600000000000e+09 5.059000000000000000e+03
1.444194000000000000e+09 5.593000000000000000e+03
1.444280400000000000e+09 5.011000000000000000e+03
1.444366800000000000e+09 5.354000000000000000e+03
1.444453200000000000e+09 5.310000000000000000e+03
1.444539600000000000e+09 5.378000000000000000e+03
1.444626000000000000e+09 3.506000000000000000e+03
1.444712400000000000e+09 4.546000000000000000e+03
1.444798800000000000e+09 5.114000000000000000e+03
1.444885200000000000e+09 5.344000000000000000e+03
1.444971600000000000e+09 5.514000000000000000e+03
1.445058000000000000e+09 5.106000000000000000e+03
1.445144400000000000e+09 4.306000000000000000e+03
1.445230800000000000e+09 5.337000000000000000e+03
1.445317200000000000e+09 5.665000000000000000e+03
1.445403600000000000e+09 5.695000000000000000e+03
1.445490000000000000e+09 4.555000000000000000e+03
1.445576400000000000e+09 5.707000000000000000e+03
1.445662800000000000e+09 5.697000000000000000e+03
1.445749200000000000e+09 5.380000000000000000e+03
1.445832000000000000e+09 5.555000000000000000e+03
1.445918400000000000e+09 5.710000000000000000e+03
1.446004800000000000e+09 5.694000000000000000e+03
1.446091200000000000e+09 4.786000000000000000e+03
1.446177600000000000e+09 5.304000000000000000e+03
1.446264000000000000e+09 5.408000000000000000e+03
1.446350400000000000e+09 5.729000000000000000e+03
1.446440400000000000e+09 5.601000000000000000e+03
1.446526800000000000e+09 5.673000000000000000e+03
1.446613200000000000e+09 5.689000000000000000e+03
1.446699600000000000e+09 5.711000000000000000e+03
1.446786000000000000e+09 5.678000000000000000e+03
1.446872400000000000e+09 5.385000000000000000e+03
1.446958800000000000e+09 4.994000000000000000e+03
1.447045200000000000e+09 3.849000000000000000e+03
1.447131600000000000e+09 5.285000000000000000e+03
1.447218000000000000e+09 5.400000000000000000e+03
1.447304400000000000e+09 5.275000000000000000e+03
1.447390800000000000e+09 5.173000000000000000e+03
1.447477200000000000e+09 5.461000000000000000e+03
1.447563600000000000e+09 5.337000000000000000e+03
1.447650000000000000e+09 4.761000000000000000e+03
1.447736400000000000e+09 4.758000000000000000e+03
1.447822800000000000e+09 5.306000000000000000e+03
1.447909200000000000e+09 2.747000000000000000e+03
1.447995600000000000e+09 5.725000000000000000e+03
1.448082000000000000e+09 4.326000000000000000e+03
1.448168400000000000e+09 5.445000000000000000e+03
1.448254800000000000e+09 5.178000000000000000e+03
1.448341200000000000e+09 4.462000000000000000e+03
1.448427600000000000e+09 4.782000000000000000e+03
1.448514000000000000e+09 5.242000000000000000e+03
1.448600400000000000e+09 5.467000000000000000e+03
1.448686800000000000e+09 4.264000000000000000e+03
1.448773200000000000e+09 5.603000000000000000e+03
1.448859600000000000e+09 3.979000000000000000e+03
1.448946000000000000e+09 5.698000000000000000e+03
1.449032400000000000e+09 5.653000000000000000e+03
1.449118800000000000e+09 5.222000000000000000e+03
1.449205200000000000e+09 2.000000000000000000e+00
1.449291600000000000e+09 3.449000000000000000e+03
1.449378000000000000e+09 4.632000000000000000e+03
1.449464400000000000e+09 5.190000000000000000e+03
1.449550800000000000e+09 5.284000000000000000e+03
1.449637200000000000e+09 5.684000000000000000e+03
1.449723600000000000e+09 5.693000000000000000e+03
1.449810000000000000e+09 4.049000000000000000e+03
1.449896400000000000e+09 4.975000000000000000e+03
1.449982800000000000e+09 4.429000000000000000e+03
1.450069200000000000e+09 4.738000000000000000e+03
1.450155600000000000e+09 4.352000000000000000e+03
1.450242000000000000e+09 5.042000000000000000e+03
1.450328400000000000e+09 4.985000000000000000e+03
1.450414800000000000e+09 4.263000000000000000e+03
1.450501200000000000e+09 5.063000000000000000e+03
1.450587600000000000e+09 4.806000000000000000e+03
1.450674000000000000e+09 4.443000000000000000e+03
1.450760400000000000e+09 4.642000000000000000e+03
1.450846800000000000e+09 4.971000000000000000e+03
1.450933200000000000e+09 5.470000000000000000e+03
1.451019600000000000e+09 5.191000000000000000e+03
1.451106000000000000e+09 4.327000000000000000e+03
1.451192400000000000e+09 5.275000000000000000e+03
1.451278800000000000e+09 5.162000000000000000e+03
1.451365200000000000e+09 4.689000000000000000e+03
1.451451600000000000e+09 5.309000000000000000e+03
1.451538000000000000e+09 4.771000000000000000e+03
1.451624400000000000e+09 4.844000000000000000e+03
1.451710800000000000e+09 4.520000000000000000e+03
1.451797200000000000e+09 5.061000000000000000e+03
1.451883600000000000e+09 5.007000000000000000e+03
1.451970000000000000e+09 4.486000000000000000e+03
1.452056400000000000e+09 4.945000000000000000e+03
1.452142800000000000e+09 5.109000000000000000e+03
1.452229200000000000e+09 5.047000000000000000e+03
1.452315600000000000e+09 5.164000000000000000e+03
1.452402000000000000e+09 3.900000000000000000e+02
1.452488400000000000e+09 0.000000000000000000e+00
1.452574800000000000e+09 0.000000000000000000e+00
1.452661200000000000e+09 0.000000000000000000e+00
1.452747600000000000e+09 0.000000000000000000e+00
1.452834000000000000e+09 0.000000000000000000e+00
1.452920400000000000e+09 0.000000000000000000e+00
1.453006800000000000e+09 1.000000000000000000e+00
1.453093200000000000e+09 0.000000000000000000e+00
1.453179600000000000e+09 0.000000000000000000e+00
1.453266000000000000e+09 2.378000000000000000e+03
1.453352400000000000e+09 4.323000000000000000e+03
1.453438800000000000e+09 5.552000000000000000e+03
1.453525200000000000e+09 3.788000000000000000e+03
1.453611600000000000e+09 5.550000000000000000e+02
1.453698000000000000e+09 4.139000000000000000e+03
1.453784400000000000e+09 4.245000000000000000e+03
1.453870800000000000e+09 5.329000000000000000e+03
1.453957200000000000e+09 4.381000000000000000e+03
1.454043600000000000e+09 4.901000000000000000e+03
1.454130000000000000e+09 1.112000000000000000e+03
1.454216400000000000e+09 0.000000000000000000e+00
1.454302800000000000e+09 0.000000000000000000e+00
1.454389200000000000e+09 0.000000000000000000e+00
1.454475600000000000e+09 0.000000000000000000e+00
1.454562000000000000e+09 0.000000000000000000e+00
1.454648400000000000e+09 0.000000000000000000e+00
1.454734800000000000e+09 0.000000000000000000e+00
1.454821200000000000e+09 0.000000000000000000e+00
1.454907600000000000e+09 0.000000000000000000e+00
1.454994000000000000e+09 0.000000000000000000e+00
1.455080400000000000e+09 0.000000000000000000e+00
1.455166800000000000e+09 0.000000000000000000e+00
1.455253200000000000e+09 0.000000000000000000e+00
1.455339600000000000e+09 2.000000000000000000e+00
1.455426000000000000e+09 3.915000000000000000e+03
1.455512400000000000e+09 4.432000000000000000e+03
1.455598800000000000e+09 5.138000000000000000e+03
1.455685200000000000e+09 5.367000000000000000e+03
1.455771600000000000e+09 5.360000000000000000e+03
1.455858000000000000e+09 5.021000000000000000e+03
1.455944400000000000e+09 4.553000000000000000e+03
1.456030800000000000e+09 3.935000000000000000e+03
1.456117200000000000e+09 4.921000000000000000e+03
1.456203600000000000e+09 5.246000000000000000e+03
1.456290000000000000e+09 4.439000000000000000e+03
1.456376400000000000e+09 4.146000000000000000e+03
1.456462800000000000e+09 4.567000000000000000e+03
1.456549200000000000e+09 4.796000000000000000e+03
1.456635600000000000e+09 5.353000000000000000e+03
1.456722000000000000e+09 4.958000000000000000e+03
1.456808400000000000e+09 5.250000000000000000e+03
1.456894800000000000e+09 5.217000000000000000e+03
1.456981200000000000e+09 4.859000000000000000e+03
1.457067600000000000e+09 4.694000000000000000e+03
1.457154000000000000e+09 4.397000000000000000e+03
1.457240400000000000e+09 5.722000000000000000e+03
1.457326800000000000e+09 5.109000000000000000e+03
1.457413200000000000e+09 5.166000000000000000e+03
1.457499600000000000e+09 5.248000000000000000e+03
1.457586000000000000e+09 5.289000000000000000e+03
1.457672400000000000e+09 5.369000000000000000e+03
