# Timestamp Rate
1.451628000000000000e+09 9.643000000000000000e+03
1.451714400000000000e+09 1.013300000000000000e+04
1.451800800000000000e+09 9.787000000000000000e+03
1.451887200000000000e+09 9.568000000000000000e+03
1.451973600000000000e+09 1.002800000000000000e+04
1.452060000000000000e+09 9.891000000000000000e+03
1.452146400000000000e+09 1.015000000000000000e+04
1.452232800000000000e+09 1.005900000000000000e+04
1.452319200000000000e+09 1.042900000000000000e+04
1.452405600000000000e+09 1.001700000000000000e+04
1.452492000000000000e+09 1.018100000000000000e+04
1.452578400000000000e+09 1.006300000000000000e+04
1.452664800000000000e+09 1.010800000000000000e+04
1.452751200000000000e+09 1.040900000000000000e+04
1.452837600000000000e+09 1.003400000000000000e+04
1.452924000000000000e+09 1.043600000000000000e+04
1.453010400000000000e+09 9.625000000000000000e+03
1.453096800000000000e+09 1.000500000000000000e+04
1.453183200000000000e+09 1.021400000000000000e+04
1.453269600000000000e+09 4.248000000000000000e+03
1.453356000000000000e+09 1.016200000000000000e+04
1.453442400000000000e+09 9.961000000000000000e+03
1.453528800000000000e+09 9.847000000000000000e+03
1.453615200000000000e+09 9.658000000000000000e+03
1.453701600000000000e+09 1.027700000000000000e+04
1.453788000000000000e+09 9.904000000000000000e+03
1.453874400000000000e+09 1.020700000000000000e+04
1.453960800000000000e+09 1.005400000000000000e+04
1.454047200000000000e+09 1.009700000000000000e+04
1.454133600000000000e+09 1.004600000000000000e+04
1.454220000000000000e+09 1.030700000000000000e+04
1.454306400000000000e+09 9.929000000000000000e+03
1.454392800000000000e+09 2.014200000000000000e+04
1.454479200000000000e+09 1.027800000000000000e+04
1.454565600000000000e+09 1.516300000000000000e+04
1.454652000000000000e+09 1.006500000000000000e+04
1.454738400000000000e+09 1.007300000000000000e+04
1.454824800000000000e+09 1.054000000000000000e+04
1.454911200000000000e+09 1.026800000000000000e+04
1.454997600000000000e+09 1.002000000000000000e+04
1.455084000000000000e+09 9.993000000000000000e+03
1.455170400000000000e+09 9.833000000000000000e+03
1.455256800000000000e+09 1.002300000000000000e+04
1.455343200000000000e+09 9.768000000000000000e+03
1.455429600000000000e+09 9.820000000000000000e+03
1.455516000000000000e+09 9.978000000000000000e+03
1.455602400000000000e+09 9.808000000000000000e+03
1.455688800000000000e+09 9.743000000000000000e+03
1.455775200000000000e+09 9.890000000000000000e+03
1.455861600000000000e+09 1.003000000000000000e+04
1.455948000000000000e+09 9.739000000000000000e+03
